"","modelID","species","method","replication","replicationID","success","training","test.dep","test.indep","AUC","COR","Deviance","TSS"
"52",52,"Anastrophyllum_donnianum","mda","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.96,0.703,0.798607308308844,0.922
"53",53,"Anastrophyllum_donnianum","mda","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.976,0.702,0.498720239074265,0.953
"54",54,"Anastrophyllum_donnianum","mda","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.987,0.803,0.263090545256182,0.958
"55",55,"Anastrophyllum_donnianum","mda","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.977,0.764,0.353807158433597,0.948
"56",56,"Anastrophyllum_donnianum","fda","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.977,0.718,0.396488654528451,0.932
"57",57,"Anastrophyllum_donnianum","fda","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.968,0.752,0.577539415844543,0.953
"58",58,"Anastrophyllum_donnianum","fda","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.967,0.723,0.453550283675335,0.938
"59",59,"Anastrophyllum_donnianum","fda","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.992,0.792,0.18573805380116,0.948
"60",60,"Anastrophyllum_donnianum","fda","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.975,0.73,0.371024282125625,0.948
"61",61,"Arnica_montana","glm","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.827,0.566,1.03073042030749,0.537
"62",62,"Arnica_montana","glm","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.838,0.594,1.01766057100085,0.58
"63",63,"Arnica_montana","glm","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.797,0.532,1.08971432157272,0.519
"64",64,"Arnica_montana","glm","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.809,0.558,1.07592220707285,0.562
"65",65,"Arnica_montana","glm","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.832,0.574,1.0192417116346,0.546
"66",66,"Arnica_montana","gam","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.886,0.672,0.844839765675395,0.623
"67",67,"Arnica_montana","gam","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.894,0.701,0.814206097500379,0.68
"68",68,"Arnica_montana","gam","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.861,0.634,0.935896981855122,0.607
"69",69,"Arnica_montana","gam","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.871,0.673,0.89181996534349,0.673
"70",70,"Arnica_montana","gam","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.889,0.701,0.849752407551379,0.696
"71",71,"Arnica_montana","rf","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.958,0.814,0.539766075727483,0.763
"72",72,"Arnica_montana","rf","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.959,0.816,0.523352835014262,0.754
"73",73,"Arnica_montana","rf","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.953,0.811,0.564664284181245,0.775
"74",74,"Arnica_montana","rf","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.95,0.8,0.586846337191115,0.754
"75",75,"Arnica_montana","rf","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.957,0.822,0.546020437775962,0.792
"76",76,"Arnica_montana","brt","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.815,0.545,1.18681292290867,0.517
"77",77,"Arnica_montana","brt","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.854,0.615,1.15425242035854,0.618
"78",78,"Arnica_montana","brt","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.8,0.528,1.19373845803552,0.495
"79",79,"Arnica_montana","brt","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.817,0.557,1.18686040170553,0.518
"80",80,"Arnica_montana","brt","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.823,0.565,1.18237307886334,0.514
"81",81,"Arnica_montana","mda","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.838,0.564,1.09715396736153,0.515
"82",82,"Arnica_montana","mda","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.87,0.644,0.929604893276489,0.601
"83",83,"Arnica_montana","mda","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.835,0.572,1.20859402375904,0.567
"84",84,"Arnica_montana","mda","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.833,0.598,1.12485628923942,0.587
"85",85,"Arnica_montana","mda","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.835,0.581,1.17725768183101,0.543
"86",86,"Arnica_montana","fda","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.824,0.565,1.03831043160635,0.529
"87",87,"Arnica_montana","fda","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.837,0.595,1.01043104797112,0.574
"88",88,"Arnica_montana","fda","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.797,0.531,1.10695999706712,0.519
"89",89,"Arnica_montana","fda","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.809,0.561,1.07635855495296,0.553
"90",90,"Arnica_montana","fda","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.83,0.571,1.02319072857653,0.54
"91",91,"Asperugo_procumbens","glm","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.878,0.525,0.251109260819795,0.668
"92",92,"Asperugo_procumbens","glm","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.918,0.563,0.226363556581026,0.729
"93",93,"Asperugo_procumbens","glm","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.906,0.555,0.22910849928875,0.755
"94",94,"Asperugo_procumbens","glm","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.718,0.255,0.443940878405831,0.446
"95",95,"Asperugo_procumbens","glm","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.857,0.445,0.253710177786904,0.598
"96",96,"Asperugo_procumbens","gam","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.782,0.186,0.509672652525149,0.606
"97",97,"Asperugo_procumbens","gam","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.967,0.635,0.185102522994931,0.885
"98",98,"Asperugo_procumbens","gam","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.934,0.642,0.21589920064601,0.769
"99",99,"Asperugo_procumbens","gam","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.824,0.436,0.552847422163743,0.677
"100",100,"Asperugo_procumbens","gam","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.942,0.632,0.179164158746653,0.802
"101",101,"Asperugo_procumbens","rf","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.859,0.489,0.272699942208794,0.679
"102",102,"Asperugo_procumbens","rf","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.978,0.657,0.176820863882806,0.922
"103",103,"Asperugo_procumbens","rf","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.966,0.678,0.171049842781948,0.854
"104",104,"Asperugo_procumbens","rf","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.862,0.488,0.251490318757078,0.613
"105",105,"Asperugo_procumbens","rf","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.917,0.746,0.179120369248211,0.865
"106",106,"Asperugo_procumbens","brt","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.831,0.368,0.327670189104886,0.585
"107",107,"Asperugo_procumbens","brt","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.921,0.549,0.282352054087823,0.72
"108",108,"Asperugo_procumbens","brt","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.916,0.479,0.279135901136115,0.741
"109",109,"Asperugo_procumbens","brt","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.822,0.126,0.32160158382637,0.576
"110",110,"Asperugo_procumbens","brt","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.811,0.278,0.299561819352493,0.508
"111",111,"Asperugo_procumbens","mda","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.855,0.401,0.319594987819263,0.599
"112",112,"Asperugo_procumbens","mda","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.948,0.547,0.2741775433689,0.802
"113",113,"Asperugo_procumbens","mda","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.944,0.564,0.269181431545939,0.811
"114",114,"Asperugo_procumbens","mda","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.851,0.247,0.327789477702762,0.665
"115",115,"Asperugo_procumbens","mda","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.899,0.44,0.312598336968137,0.728
"116",116,"Asperugo_procumbens","fda","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.895,0.513,0.25146752894221,0.679
"117",117,"Asperugo_procumbens","fda","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.918,0.535,0.232818919986833,0.719
"118",118,"Asperugo_procumbens","fda","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.925,0.631,0.211399008827729,0.747
"119",119,"Asperugo_procumbens","fda","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.718,0.226,0.377459657836002,0.388
"120",120,"Asperugo_procumbens","fda","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.846,0.372,0.32031458491642,0.603
"121",121,"Campanula_barbata","glm","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.982,0.845,0.2665884783208,0.953
"122",122,"Campanula_barbata","glm","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.979,0.849,0.321183736410118,0.958
"123",123,"Campanula_barbata","glm","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.985,0.855,0.232395663568439,0.958
"124",124,"Campanula_barbata","glm","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.97,0.781,0.363167991082759,0.906
"125",125,"Campanula_barbata","glm","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.98,0.827,0.277775508436821,0.932
"126",126,"Campanula_barbata","gam","cross_validation",1,TRUE,TRUE,TRUE,FALSE,1,0.965,0.0667863616368665,0.99
"127",127,"Campanula_barbata","gam","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.994,0.936,0.909850473006854,0.984
"128",128,"Campanula_barbata","gam","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.999,0.948,0.113507654502774,0.984
"129",129,"Campanula_barbata","gam","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.992,0.899,0.753591956722656,0.974
"130",130,"Campanula_barbata","gam","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.993,0.947,0.230432378016508,0.99
"131",131,"Campanula_barbata","rf","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.998,0.952,0.0896915353524861,0.979
"132",132,"Campanula_barbata","rf","cross_validation",2,TRUE,TRUE,TRUE,FALSE,1,0.974,0.0664973821678038,0.995
"133",133,"Campanula_barbata","rf","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.999,0.973,0.0696093952604136,0.984
"134",134,"Campanula_barbata","rf","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.998,0.942,0.107839958396607,0.99
"135",135,"Campanula_barbata","rf","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.995,0.93,0.12476290406204,0.974
"136",136,"Campanula_barbata","brt","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.932,0.633,0.611485733609862,0.8
"137",137,"Campanula_barbata","brt","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.974,0.757,0.562054974525585,0.865
"138",138,"Campanula_barbata","brt","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.991,0.804,0.551902564492647,0.92
"139",139,"Campanula_barbata","brt","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.959,0.711,0.577955382809328,0.832
"140",140,"Campanula_barbata","brt","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.966,0.718,0.569109107704109,0.885
"141",141,"Campanula_barbata","mda","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.957,0.728,0.417583726693465,0.872
"142",142,"Campanula_barbata","mda","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.964,0.752,0.441734802501794,0.885
"143",143,"Campanula_barbata","mda","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.951,0.691,0.431693246380627,0.875
"144",144,"Campanula_barbata","mda","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.924,0.624,0.652244285658173,0.775
"145",145,"Campanula_barbata","mda","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.969,0.761,0.366741091910987,0.911
"146",146,"Campanula_barbata","fda","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.962,0.753,0.382532427539399,0.889
"147",147,"Campanula_barbata","fda","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.961,0.745,0.400285759818075,0.84
"148",148,"Campanula_barbata","fda","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.95,0.684,0.434283525604152,0.865
"149",149,"Campanula_barbata","fda","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.92,0.616,0.608530600355703,0.772
"150",150,"Campanula_barbata","fda","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.953,0.715,0.412069309625554,0.81
"151",151,"Campanula_cervicaria","glm","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.922,0.677,0.592934107680253,0.754
"152",152,"Campanula_cervicaria","glm","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.91,0.684,0.617274138356399,0.682
"153",153,"Campanula_cervicaria","glm","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.883,0.592,0.723969774818637,0.65
"154",154,"Campanula_cervicaria","glm","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.903,0.652,0.638964187666744,0.709
"155",155,"Campanula_cervicaria","glm","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.917,0.686,0.594408796045102,0.711
"156",156,"Campanula_cervicaria","gam","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.925,0.673,0.635899760402112,0.752
"157",157,"Campanula_cervicaria","gam","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.902,0.664,0.728711810293338,0.665
"158",158,"Campanula_cervicaria","gam","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.923,0.678,0.627123969302185,0.74
"159",159,"Campanula_cervicaria","gam","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.928,0.707,0.549422579789311,0.707
"160",160,"Campanula_cervicaria","gam","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.943,0.733,0.505996179253259,0.746
"161",161,"Campanula_cervicaria","rf","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.969,0.808,0.413523283401528,0.832
"162",162,"Campanula_cervicaria","rf","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.939,0.753,0.504557132130208,0.75
"163",163,"Campanula_cervicaria","rf","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.952,0.766,0.483216018473155,0.772
"164",164,"Campanula_cervicaria","rf","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.945,0.765,0.498484559050012,0.786
"165",165,"Campanula_cervicaria","rf","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.953,0.772,0.466371187068849,0.747
"166",166,"Campanula_cervicaria","brt","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.909,0.655,0.78445097879399,0.723
"167",167,"Campanula_cervicaria","brt","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.861,0.561,0.845528477303123,0.604
"168",168,"Campanula_cervicaria","brt","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.86,0.528,0.875412907017147,0.558
"169",169,"Campanula_cervicaria","brt","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.854,0.531,0.860041513328365,0.618
"170",170,"Campanula_cervicaria","brt","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.841,0.506,0.873248632736645,0.57
"171",171,"Campanula_cervicaria","mda","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.916,0.665,0.928643662790931,0.782
"172",172,"Campanula_cervicaria","mda","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.911,0.675,0.681975221704121,0.705
"173",173,"Campanula_cervicaria","mda","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.851,0.523,1.47040927963903,0.664
"174",174,"Campanula_cervicaria","mda","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.903,0.655,0.87862913927977,0.729
"175",175,"Campanula_cervicaria","mda","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.869,0.565,1.00665608236066,0.633
"176",176,"Campanula_cervicaria","fda","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.916,0.658,0.629893415469316,0.764
"177",177,"Campanula_cervicaria","fda","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.905,0.678,0.626037539672695,0.699
"178",178,"Campanula_cervicaria","fda","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.878,0.565,0.760947877056139,0.659
"179",179,"Campanula_cervicaria","fda","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.901,0.636,0.664835945852526,0.705
"180",180,"Campanula_cervicaria","fda","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.919,0.689,0.597915616877499,0.697
"181",181,"Cetrelia_olivetorum","glm","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.835,0.537,0.678601138765552,0.578
"182",182,"Cetrelia_olivetorum","glm","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.829,0.522,0.681756605176371,0.561
"183",183,"Cetrelia_olivetorum","glm","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.858,0.579,0.625194169058559,0.594
"184",184,"Cetrelia_olivetorum","glm","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.813,0.505,0.718011748716219,0.561
"185",185,"Cetrelia_olivetorum","glm","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.845,0.509,0.673128846086445,0.538
"186",186,"Cetrelia_olivetorum","gam","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.922,0.677,0.530937754939691,0.732
"187",187,"Cetrelia_olivetorum","gam","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.896,0.652,0.806912909884571,0.663
"188",188,"Cetrelia_olivetorum","gam","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.905,0.635,0.608974125616251,0.69
"189",189,"Cetrelia_olivetorum","gam","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.88,0.611,0.63088831233169,0.62
"190",190,"Cetrelia_olivetorum","gam","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.937,0.719,0.455826247789801,0.715
"191",191,"Cetrelia_olivetorum","rf","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.975,0.83,0.324913729177866,0.862
"192",192,"Cetrelia_olivetorum","rf","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.93,0.755,0.438107416876635,0.809
"193",193,"Cetrelia_olivetorum","rf","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.963,0.78,0.370281412121302,0.83
"194",194,"Cetrelia_olivetorum","rf","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.959,0.755,0.394478138142737,0.797
"195",195,"Cetrelia_olivetorum","rf","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.982,0.851,0.305503169796302,0.927
"196",196,"Cetrelia_olivetorum","brt","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.865,0.55,0.800215790902404,0.592
"197",197,"Cetrelia_olivetorum","brt","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.774,0.47,0.802458159185401,0.5
"198",198,"Cetrelia_olivetorum","brt","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.891,0.593,0.775226350666445,0.659
"199",199,"Cetrelia_olivetorum","brt","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.841,0.424,0.819190844481861,0.576
"200",200,"Cetrelia_olivetorum","brt","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.856,0.522,0.802745949146434,0.636
"201",201,"Cetrelia_olivetorum","mda","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.902,0.599,0.64737684478426,0.673
"202",202,"Cetrelia_olivetorum","mda","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.842,0.47,0.895789800872943,0.558
"203",203,"Cetrelia_olivetorum","mda","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.892,0.628,0.614361348149527,0.654
"204",204,"Cetrelia_olivetorum","mda","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.811,0.464,1.10740484443813,0.577
"205",205,"Cetrelia_olivetorum","mda","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.898,0.621,0.603356786068344,0.654
